gene_id,column_name
Pocillopora_acuta_HIv2___RNAseq.g10056.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1008.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10093.t2,0
Pocillopora_acuta_HIv2___RNAseq.g10094.t1,1
Pocillopora_acuta_HIv2___RNAseq.g10098.t1,1
Pocillopora_acuta_HIv2___RNAseq.g10158.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10164.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10167.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10168.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1017.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10172.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10174.t2,0
Pocillopora_acuta_HIv2___RNAseq.g10178.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10180.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1020.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1021.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1022.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1023.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10258.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10263.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10265.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10266.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10267.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10270.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10271.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10272.t2,0
Pocillopora_acuta_HIv2___RNAseq.g10276.t2,0
Pocillopora_acuta_HIv2___RNAseq.g10278.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10287.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10291.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10292.t1,1
Pocillopora_acuta_HIv2___RNAseq.g10304.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1031.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10310.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10311.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10312.t2a,0
Pocillopora_acuta_HIv2___RNAseq.g10312.t2b,0
Pocillopora_acuta_HIv2___RNAseq.g10313.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10314.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10320.t1a,0
Pocillopora_acuta_HIv2___RNAseq.g10324.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10332.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10380.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10385.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10386.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10389.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10391.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10400.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10406.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10407.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10408.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1042.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10438.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10449.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10456.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10463.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10476.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10479.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10492.t3,0
Pocillopora_acuta_HIv2___RNAseq.g10508.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10511.t2,0
Pocillopora_acuta_HIv2___RNAseq.g10514.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10517.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10524.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10525.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10536.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1054.t1,1
