"","KEGGterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","bh_adjust"
"2583","K14798",0.08234962265086,1,1,1,1
"2412","K14006",0.0823736474090394,1,1,1,1
"1841","K11276",0.0825835319278698,1,1,1,1
"596","K03061",0.0829123212692999,1,1,1,1
"467","K02736",0.0830836182235579,1,1,1,1
"1565","K09666",0.08332067060443,1,1,1,1
"2161","K12670",0.08352239580849,1,1,1,1
"3577","K20838",0.0836481344305223,1,1,1,1
"234","K01285",0.0847868872951042,1,1,1,1
"2052","K12192",0.0848055019945969,1,1,1,1
"2723","K15296",0.0849504195191578,1,1,1,1
"1820","K11163",0.085478879019793,1,1,1,1
"3705","K22583",0.0863630458865251,1,1,1,1
"1805","K11109",0.086591626118285,1,1,1,1
"3041","K17499",0.0870617161936825,1,1,1,1
"255","K01379",0.0873456792636769,1,1,1,1
"3561","K20778",0.0881872490663859,1,1,1,1
"3940","K24141",0.0896088039587878,1,1,1,1
"1273","K08239",0.0898784916546585,1,1,1,1
"2257","K13105",0.089943405785817,1,1,1,1
"3060","K17569",0.0903783539945282,1,1,1,1
"2577","K14790",0.0904746519523567,1,1,1,1
"1623","K10364",0.0906500802937326,1,1,1,1
"649","K03238",0.0907290926985102,1,1,1,1
"723","K03781",0.0908633314895681,1,1,1,1
"1948","K11669",0.0910105281803645,1,1,1,1
"3658","K22078",0.0921077442943067,1,1,1,1
"3894","K23915",0.0930687285903274,1,1,1,1
"1904","K11493",0.0944022383119099,1,1,1,1
"3092","K17662",0.0946714067474392,1,1,1,1
"706","K03627",0.0949567003527462,1,1,1,1
"3436","K20067",0.0955060438016754,1,1,1,1
"1238","K07962",0.0955984430057318,1,1,1,1
"72","K00485",0.096572253280457,1,1,1,1
"41","K00275",0.0979493035783251,1,1,1,1
"3262","K18703",0.098745206286297,1,1,1,1
"3792","K23362",0.0987683987911944,1,1,1,1
"2125","K12584",0.0999448115147173,1,1,1,1
"2892","K16604",0.100585743858844,1,1,1,1
"2795","K15717",0.100787971103489,1,1,1,1
"3953","K24225",0.100860999003292,1,1,1,1
"3196","K18258",0.101244314175376,1,1,1,1
"160","K00927",0.101424862790606,1,1,1,1
"3237","K18490",0.103056658312224,1,1,1,1
"2258","K13106",0.103613217870898,1,1,1,1
"743","K03943",0.103647674760064,1,1,1,1
"526","K02936",0.104754200040851,1,1,1,1
"656","K03247",0.104983733181386,1,1,1,1
"721","K03729",0.105294334904743,1,1,1,1
"479","K02872",0.105606792279967,1,1,1,1
"567","K02991",0.105624703093981,1,1,1,1
"462","K02730",0.105894093881306,1,1,1,1
"175","K01017",0.106765341292349,1,1,1,1
"2555","K14753",0.106921088236534,1,1,1,1
"1570","K09855",0.107307766821242,1,1,1,1
"2531","K14615",0.10822051517958,1,1,1,1
"1797","K11089",0.108427442436466,1,1,1,1
"507","K02908",0.108824551268555,1,1,1,1
"562","K02985",0.109033644031249,1,1,1,1
"571","K02997",0.109100329890644,1,1,1,1
"293","K01623",0.10942530714209,1,1,1,1
"2695","K15190",0.109780985839592,1,1,1,1
"557","K02978",0.109896795282231,1,1,1,1
"867","K04658",0.110158180698274,1,1,1,1
"3297","K19177",0.110303882267167,1,1,1,1
"29","K00182",0.110615877070679,1,1,1,1
"409","K02310",0.110752873937574,1,1,1,1
"3233","K18467",0.110880357564296,1,1,1,1
"494","K02889",0.111571316826191,1,1,1,1
"1433","K09223",0.111740263395831,1,1,1,1
"2263","K13113",0.112139518718252,1,1,1,1
"1905","K11495",0.112601629557796,1,1,1,1
"2295","K13160",0.112874324283848,1,1,1,1
"525","K02935",0.113117611588875,1,1,1,1
"3635","K21878",0.113402496190485,1,1,1,1
"1139","K06855",0.114698113027927,1,1,1,1
"3570","K20818",0.115626248780499,1,1,1,1
"1765","K10847",0.11565771538519,1,1,1,1
"2465","K14381",0.115762688049272,1,1,1,1
"478","K02870",0.115878306652152,1,1,1,1
"536","K02949",0.115951962866499,1,1,1,1
"3402","K19882",0.115951962866499,1,1,1,1
"496","K02891",0.116152201593673,1,1,1,1
"3802","K23407",0.116226089102042,1,1,1,1
"3251","K18629",0.11647988549508,1,1,1,1
"289","K01587",0.118492143446758,1,1,1,1
"565","K02989",0.118513772924415,1,1,1,1
"3151","K17931",0.118795366686838,1,1,1,1
"556","K02977",0.119579073886221,1,1,1,1
"3895","K23922",0.120214454098499,1,1,1,1
"1976","K11827",0.120346352624284,1,1,1,1
"2147","K12620",0.120665719344142,1,1,1,1
"3323","K19384",0.12142899869208,1,1,1,1
"434","K02449",0.12170670465433,1,1,1,1
"2890","K16600",0.122375629308412,1,1,1,1
"538","K02951",0.12292439269569,1,1,1,1
"2150","K12624",0.122991737407749,1,1,1,1
"483","K02877",0.124243275249676,1,1,1,1
"560","K02983",0.124719531322702,1,1,1,1
"1163","K07213",0.125756219698821,1,1,1,1
"2050","K12189",0.125984910827384,1,1,1,1
"1405","K09026",0.126454645647473,1,1,1,1
"513","K02918",0.126983092800893,1,1,1,1
"3401","K19873",0.128461038131044,1,1,1,1
"537","K02950",0.128855358097749,1,1,1,1
"3719","K22756",0.12897146636648,1,1,1,1
"3204","K18398",0.129122495056519,1,1,1,1
"608","K03103",0.129646037378169,1,1,1,1
"2229","K12890",0.130439285851358,1,1,1,1
"2169","K12757",0.131199774501514,1,1,1,1
"3105","K17772",0.131938799823926,1,1,1,1
"1077","K06238",0.132192391107115,0.977752205129785,2,9,1
"3607","K21439",0.133705217541095,1,1,1,1
"3089","K17653",0.13415406948464,1,1,1,1
"3277","K18753",0.134402330762713,1,1,1,1
"1409","K09057",0.134567918592781,1,1,1,1
"3095","K17682",0.134816416965684,1,1,1,1
"3780","K23318",0.135859155673381,1,1,1,1
"3590","K21247",0.136642540926681,1,1,1,1
"1076","K06237",0.137188456867214,0.994947614905384,1,2,1
"855","K04600",0.137380020107858,0.994932952797347,1,2,1
"3125","K17879",0.137819375865557,1,1,1,1
"965","K05648",0.137910229868698,0.994892251622406,1,2,1
"1691","K10593",0.138033274566015,0.994882781111077,1,2,1
"964","K05643",0.138313554393008,0.994861173236505,1,2,1
"1573","K10051",0.138390582966148,1,1,1,1
"3184","K18179",0.138473912408343,1,1,1,1
"2550","K14716",0.138745378589786,0.994827786192278,1,2,1
"3033","K17461",0.139556530688004,0.994764755820132,1,2,1
"3872","K23847",0.140248920207917,1,1,1,1
"1614","K10350",0.140401062318277,0.994698694170428,1,2,1
"3111","K17782",0.140749555245963,1,1,1,1
"1037","K06068",0.140994104997204,0.994652037581753,1,2,1
"1181","K07390",0.141572129952567,1,1,1,1
"1382","K08857",0.141773063087255,0.994590419142489,1,2,1
"1764","K10846",0.144391498479035,0.994380493989377,1,2,1
"2778","K15626",0.144503331798531,1,1,1,1
"142","K00844",0.144610313833246,0.994362755493712,1,2,1
"221","K01251",0.145339468848373,0.994303427510613,1,2,1
"3347","K19527",0.145466521315082,0.994293055464342,1,2,1
"714","K03678",0.146792914265851,0.994184164217061,1,2,1
"3803","K23424",0.153109713435611,0.993650236939389,1,2,1
"2591","K14808",0.15415738166123,0.993559218037987,1,2,1
"235","K01298",0.156389638557226,0.993362932681525,1,2,1
"1637","K10397",0.159936149669157,0.993044472171403,1,2,1
"1030","K06052",0.160499976051886,0.992993092739284,1,2,1
"3194","K18245",0.16184264867211,0.992869908360301,1,2,1
"4074","K24931",0.165926518512202,0.99248800620727,1,2,1
"110","K00699",0.166107743945299,0.992470806116744,1,2,1
"1458","K09339",0.171778734475996,0.991921651905346,1,2,1
"1821","K11165",0.179326070343965,0.991157704986965,1,2,1
"3576","K20828",0.180276450398924,0.991058804556357,1,2,1
"3760","K23167",0.181931903250477,0.990885079009247,1,2,1
"299","K01669",0.18239512669803,0.990836136649742,1,2,1
"1825","K11188",0.188005193499329,0.990231851970962,1,2,1
"720","K03695",0.188541590273944,0.990172952430394,1,2,1
"2399","K13907",0.194768931413619,0.989474710701388,1,2,1
"2574","K14787",0.195586480309303,0.98938105866798,1,2,1
"1059","K06129",0.196563470572898,0.989268535248847,1,2,1
"3003","K17341",0.198646913113295,0.985546974563253,1,3,1
"1119","K06689",0.198925457033956,0.9889937592716,1,2,1
"924","K05122",0.200103954057082,0.985323025580555,1,3,1
"2400","K13912",0.200602943799688,0.985245892731645,1,3,1
"2586","K14801",0.201966384595439,0.988634274310302,1,2,1
"3989","K24510",0.205904170312706,0.984412600736425,1,3,1
"2989","K17284",0.206048323647043,0.988141532154896,1,2,1
"764","K04097",0.209501969176479,0.954124663272991,2,8,1
"1241","K07994",0.209628953941412,0.987699620314624,1,2,1
"349","K01915",0.210974450995271,0.987531209881816,1,2,1
"2407","K13985",0.211841529150718,0.987421997706561,1,2,1
"1173","K07305",0.212019425102606,0.987399524625323,1,2,1
"2154","K12647",0.212373424640239,0.983361200748728,1,3,1
"1823","K11182",0.215187168513408,0.986995561042939,1,2,1
"1758","K10808",0.218430993758432,0.986574422921534,1,2,1
"1558","K09640",0.223159564209285,0.981522785243404,1,3,1
"407","K02295",0.226063657971197,0.981009346592285,1,3,1
"301","K01679",0.226197494265159,0.985535113842112,1,2,1
"213","K01204",0.226557489176314,0.980921252740615,1,3,1
"1665","K10442",0.233088961976315,0.984575852441751,1,2,1
"2166","K12741",0.233711291822755,0.984487494848403,1,2,1
"972","K05681",0.234066121452229,0.979553497906734,1,3,1
"2941","K16796",0.235262554970556,0.984265992140155,1,2,1
"3974","K24412",0.237720815774583,0.983911296779371,1,2,1
"2177","K12818",0.24004463707297,0.978426179304188,1,3,1
"1024","K05991",0.242561722700032,0.983199533481063,1,2,1
"709","K03648",0.244450922099629,0.982916954053903,1,2,1
"429","K02375",0.245259077826881,0.982795244584532,1,2,1
"2415","K14009",0.247756683062642,0.976921227097149,1,3,1
"263","K01442",0.250021793906585,0.982067837742795,1,2,1
"3345","K19525",0.25396127903587,0.972846707157832,1,4,1
"2486","K14443",0.254720271696578,0.981333145522036,1,2,1
"2102","K12474",0.256435671342057,0.981060648493861,1,2,1
"3433","K20051",0.256732515192035,0.972211446018961,1,4,1
"2085","K12385",0.257975371033729,0.971923835172145,1,4,1
"3260","K18669",0.258383605554269,0.974752416080954,1,3,1
"109","K00698",0.259148793763846,0.97165074944749,1,4,1
"1155","K07189",0.26035647327614,0.980429193507445,1,2,1
"1897","K11459",0.260479296840879,0.974311552392902,1,3,1
"1254","K08056",0.272486606533635,0.971700771248622,1,3,1
"1884","K11423",0.276081179664147,0.96754152307538,1,4,1
"3917","K24032",0.276337704262917,0.967476817794887,1,4,1
"163","K00939",0.282943854443798,0.965784950844682,1,4,1
"673","K03283",0.290563389900944,0.967492405577946,1,3,1
"206","K01183",0.292720556407952,0.966967455573718,1,3,1
"75","K00522",0.293860859203654,0.966687974855917,1,3,1
"2898","K16669",0.310381030124356,0.955706405647148,1,5,1
"3448","K20103",0.31045816273375,0.95568262184945,1,5,1
"2023","K12035",0.310697360628974,0.907735583557847,2,10,1
"226","K01265",0.311803046285055,0.957805060776935,1,4,1
"2821","K16288",0.314916939010445,0.956885423206418,1,4,1
"4059","K24835",0.314960566769466,0.961264829590342,1,3,1
"3567","K20795",0.321002326081874,0.955054485137734,1,4,1
"2305","K13172",0.321809557618795,0.952100888853558,1,5,1
"1540","K09577",0.323645673014151,0.958890981203567,1,3,1
"229","K01275",0.325733698696121,0.953599846529201,1,4,1
"68","K00461",0.329033640620084,0.949736186345492,1,5,1
"1027","K06030",0.340103502742012,0.945981653412783,1,5,1
"602","K03068",0.368356163003336,0.935660148367201,1,5,1
"112","K00710",0.372091119384865,0.934214033414574,1,5,1
"300","K01672",0.390519553023863,0.926790736249252,1,5,1
"3717","K22754",0.40289736290592,0.916722579991041,1,7,1
"389","K02183",0.413776331682537,0.843988758790137,2,13,1
"3890","K23901",0.431418868015536,0.908531269602393,1,5,1
"233","K01283",0.458469413870733,0.891363854817037,1,6,1
"909","K04984",0.462766531239049,0.884452260183106,1,8,1
"1568","K09848",0.49325197789605,0.868616691215099,1,7,1
"3242","K18592",0.523977683642041,0.844502789769435,1,9,1
"1177","K07374",0.549191075192225,0.83137224160264,1,7,1
"1434","K09228",0.696067498145403,0.684731713914867,1,12,1
"3535","K20478",0.747820738665888,0.614345503468917,1,17,1
"3605","K21436",0.999999999967325,0.92240357437004,0,1,1
"662","K03254",0.999999999968058,0.928204613538994,0,1,1
"292","K01613",0.999999999968982,0.918048861202688,0,1,1
"417","K02331",0.999999999970403,0.928163777267688,0,1,1
"2523","K14574",0.99999999997064,0.878126383191784,0,1,1
"1914","K11514",0.999999999971195,0.919439937134123,0,1,1
"3678","K22376",0.999999999971494,0.915848099534485,0,1,1
"954","K05609",0.999999999971827,0.91192242180397,0,1,1
"4041","K24760",0.999999999972079,0.924510604447074,0,1,1
"3511","K20316",0.999999999972393,0.900537573739315,0,1,1
"655","K03246",0.999999999972449,0.928153815811949,0,1,1
"848","K04565",0.999999999972581,0.91682790601052,0,1,1
"406","K02272",0.999999999972698,0.867790950555895,0,1,1
"2509","K14557",0.999999999972786,0.926921167326173,0,1,1
"2774","K15616",0.999999999972993,0.925903656736775,0,1,1
"1185","K07441",0.99999999997346,0.882036350306037,0,1,1
"2874","K16544",0.999999999973714,0.928332573867912,0,1,1
"435","K02503",0.999999999973834,0.88680110761225,0,1,1
"3120","K17818",0.999999999973834,0.88680110761225,0,1,1
"2587","K14803",0.999999999974019,0.921795071323393,0,1,1
"1192","K07526",0.99999999997412,0.92819610234899,0,1,1
"2426","K14156",0.999999999974423,0.91990574414149,0,1,1
"2452","K14314",0.999999999974488,0.928589230576391,0,1,1
"30","K00207",0.999999999974493,0.928367469178238,0,1,1
"2911","K16731",0.999999999974495,0.928212957500158,0,1,1
"186","K01077",0.999999999974646,0.928183345268221,0,1,1
"3893","K23912",0.999999999974835,0.895395327062944,0,1,1
"3422","K19995",0.999999999974952,0.918218984176809,0,1,1
"1567","K09668",0.9999999999756,0.928151074861373,0,1,1
"171","K00967",0.999999999975697,0.881885633984397,0,1,1
"2132","K12598",0.999999999975785,0.928178388180279,0,1,1
"2236","K13024",0.999999999975785,0.928178388180279,0,1,1
"497","K02892",0.999999999975797,0.91288598075345,0,1,1
"865","K04648",0.999999999975839,0.928370206892866,0,1,1
"3068","K17580",0.999999999975921,0.92443336524322,0,1,1
"2820","K16273",0.999999999975946,0.927024395120688,0,1,1
"7","K00025",0.999999999975958,0.907789831512337,0,1,1
"2840","K16461",0.99999999997599,0.92815877861904,0,1,1
"291","K01599",0.999999999976059,0.899438461383725,0,1,1
"3773","K23296",0.999999999976059,0.899438461383725,0,1,1
"2674","K15156",0.999999999976151,0.928311120592198,0,1,1
"2904","K16687",0.999999999976174,0.871504197154752,0,1,1
"1071","K06226",0.999999999976332,0.912990458718974,0,1,1
"1017","K05869",0.999999999976426,0.922130279414387,0,1,1
"2626","K14864",0.999999999976442,0.900395798624895,0,1,1
"1977","K11830",0.999999999976557,0.8635712118691,0,1,1
"3093","K17680",0.999999999976566,0.927089187210517,0,1,1
"4017","K24687",0.999999999976732,0.916251449273978,0,1,1
"1054","K06114",0.999999999976802,0.928603144360182,0,1,1
"2366","K13619",0.999999999976827,0.915667723304696,0,1,1
"373","K02138",0.999999999976865,0.891741916974528,0,1,1
"4146","K25470",0.999999999976865,0.891741916974528,0,1,1
"1212","K07868",0.999999999976914,0.905280053198075,0,1,1
"1343","K08789",0.999999999976964,0.928319676220356,0,1,1
"3640","K21914",0.999999999976989,0.90163174724217,0,1,1
"3332","K19473",0.99999999997709,0.895404109185062,0,1,1
"2174","K12815",0.999999999977159,0.928176457576775,0,1,1
"2839","K16460",0.999999999977171,0.928168211630685,0,1,1
"1860","K11323",0.99999999997723,0.908279501464205,0,1,1
"1819","K11155",0.999999999977391,0.926893624447038,0,1,1
"3528","K20407",0.999999999977421,0.928207337737662,0,1,1
"3325","K19399",0.999999999977545,0.855353831806159,0,1,1
"1886","K11427",0.999999999977546,0.928272501932273,0,1,1
"1772","K10867",0.999999999977644,0.928151725542715,0,1,1
"2165","K12739",0.999999999977738,0.904987354670113,0,1,1
"313","K01764",0.999999999977809,0.893060559595739,0,1,1
"1372","K08835",0.999999999977955,0.928196740640384,0,1,1
"2348","K13353",0.999999999978006,0.890641745686896,0,1,1
"2443","K14299",0.999999999978191,0.919558136142553,0,1,1
"296","K01638",0.999999999978206,0.908247953253411,0,1,1
"3081","K17606",0.999999999978331,0.914096360440188,0,1,1
"2","K00006",0.999999999978367,0.921159104543837,0,1,1
"1432","K09216",0.999999999978461,0.909161124732461,0,1,1
"2333","K13247",0.999999999978461,0.909161124732461,0,1,1
"1728","K10699",0.999999999978479,0.928161788332901,0,1,1
"2093","K12397",0.999999999978482,0.92802534487857,0,1,1
"3239","K18529",0.999999999978493,0.928390685839433,0,1,1
"449","K02604",0.999999999978599,0.926981466421263,0,1,1
"3212","K18407",0.999999999978603,0.927121605101264,0,1,1
"1632","K10392",0.999999999978613,0.928728558845805,0,1,1
"2514","K14564",0.999999999978676,0.90908156205857,0,1,1
"88","K00592",0.999999999978708,0.898302967575325,0,1,1
"1670","K10477",0.999999999978823,0.860323113772361,0,1,1
"2690","K15185",0.999999999978825,0.928372688728547,0,1,1
"834","K04527",0.999999999978871,0.928388726478736,0,1,1
"2189","K12830",0.999999999978902,0.928451779873176,0,1,1
"2600","K14826",0.99999999997892,0.901555102038274,0,1,1
"3674","K22369",0.999999999978931,0.926143778791962,0,1,1
"660","K03252",0.999999999979023,0.92798901231009,0,1,1
"4070","K24926",0.999999999979149,0.905932903075125,0,1,1
"4052","K24813",0.999999999979201,0.927551793143082,0,1,1
"836","K04531",0.999999999979239,0.928488783958028,0,1,1
"3406","K19910",0.999999999979256,0.90158577758911,0,1,1
"1710","K10637",0.99999999997931,0.892812207440723,0,1,1
"3800","K23405",0.999999999979362,0.924399096961982,0,1,1
"3692","K22455",0.999999999979411,0.88067189299984,0,1,1
"3922","K24051",0.999999999979417,0.895465541776285,0,1,1
"553","K02974",0.999999999979498,0.880213176688891,0,1,1
"2993","K17293",0.999999999979517,0.91130707882265,0,1,1
"4084","K24962",0.999999999979537,0.910675334472288,0,1,1
"1347","K08794",0.999999999979577,0.925902326886505,0,1,1
"3045","K17525",0.999999999979577,0.925902326886505,0,1,1
"3956","K24229",0.999999999979582,0.909289161396165,0,1,1
"724","K03793",0.999999999979583,0.928206838543494,0,1,1
"977","K05695",0.999999999979592,0.92893446246868,0,1,1
"1631","K10390",0.99999999997961,0.896772767316392,0,1,1
"1218","K07888",0.999999999979613,0.88171310971096,0,1,1
"2411","K14005",0.999999999979684,0.928164424466004,0,1,1
"2277","K13131",0.999999999979686,0.919509608013739,0,1,1
"985","K05724",0.999999999979705,0.928212595351435,0,1,1
"3079","K17602",0.999999999979723,0.928283098689558,0,1,1
"2948","K16810",0.999999999979735,0.928088682502507,0,1,1
