Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
RS13A_S121_L002_R1_001	35.98813839886827	42.0	101.0	18.181818181818183	5179468.0
RS13C_S119_L001_R1_001	38.881268853313955	43.0	101.0	18.181818181818183	4882245.0
RS13C_S119_L002_R1_001	39.48097179498292	43.0	101.0	18.181818181818183	4889653.0
RS14B_S107_L001_R1_001	33.879988895725646	44.0	101.0	9.090909090909092	4889181.0
RS14B_S107_L002_R1_001	34.350581082961085	44.0	101.0	9.090909090909092	4894666.0
RS14C_S109_L001_R1_001	46.96985168424168	45.0	101.0	9.090909090909092	4427968.0
RS14C_S109_L002_R1_001	47.36122050250609	45.0	101.0	9.090909090909092	4426050.0
RS15B_S104_L001_R1_001	37.27587302097493	44.0	101.0	9.090909090909092	4182799.0
RS15B_S104_L002_R1_001	37.804552890758536	44.0	101.0	9.090909090909092	4190032.0
RS15D_S82_L001_R1_001	40.100552122164345	46.0	101.0	9.090909090909092	3028863.0
RS15D_S82_L002_R1_001	40.38337755688938	46.0	101.0	9.090909090909092	3027328.0
RS1B_S102_L001_R1_001	35.13415016256005	44.0	101.0	9.090909090909092	4014308.0
RS1B_S102_L002_R1_001	35.61534771093139	44.0	101.0	9.090909090909092	4017038.0
RS1C_S127_L001_R1_001	40.248948103014484	44.0	101.0	9.090909090909092	4599738.0
RS1C_S127_L002_R1_001	40.62083869417006	44.0	101.0	9.090909090909092	4629672.0
RS2B_S123_L001_R1_001	38.87471493142699	44.0	101.0	9.090909090909092	5045525.0
RS2B_S123_L002_R1_001	39.14737796085993	44.0	101.0	9.090909090909092	5049857.0
RS2C_S89_L001_R1_001	36.03594193829803	43.0	101.0	18.181818181818183	3999976.0
RS2C_S89_L002_R1_001	36.661410885425184	43.0	101.0	18.181818181818183	4006781.0
RS3B_S100_L001_R1_001	39.12833168972565	43.0	101.0	18.181818181818183	4476277.0
RS3B_S100_L002_R1_001	39.808219552512014	43.0	101.0	18.181818181818183	4483808.0
RS3D_S117_L001_R1_001	36.2196530909317	43.0	101.0	9.090909090909092	4320150.0
RS3D_S117_L002_R1_001	36.494548218885015	43.0	101.0	9.090909090909092	4336730.0
RS6A_S81_L001_R1_001	39.064434577431605	43.0	101.0	18.181818181818183	3288745.0
RS6A_S81_L002_R1_001	39.448464873067735	43.0	101.0	18.181818181818183	3303359.0
RS6D_S124_L001_R1_001	41.87779449547878	43.0	101.0	9.090909090909092	4697706.0
RS6D_S124_L002_R1_001	42.32372520284686	43.0	101.0	9.090909090909092	4713694.0
RS7B_S120_L001_R1_001	34.83446978181941	44.0	101.0	9.090909090909092	3532781.0
RS7B_S120_L002_R1_001	35.07874058996907	44.0	101.0	9.090909090909092	3531382.0
RS7C_S101_L001_R1_001	47.81010841257485	46.0	101.0	9.090909090909092	4247059.0
RS7C_S101_L002_R1_001	48.12476920820961	46.0	101.0	9.090909090909092	4268552.0
RS8B_S94_L001_R1_001	37.24369373297566	43.0	101.0	9.090909090909092	4764375.0
RS8B_S94_L002_R1_001	37.789973435621214	43.0	101.0	9.090909090909092	4783063.0
RS8C_S114_L001_R1_001	31.26301910717224	43.0	101.0	18.181818181818183	5218832.0
RS8C_S114_L002_R1_001	31.74744176406371	43.0	101.0	18.181818181818183	5222617.0
RS9A_S98_L001_R1_001	36.87660436124551	43.0	101.0	18.181818181818183	4061543.0
RS9A_S98_L002_R1_001	37.09943004476129	43.0	101.0	18.181818181818183	4068131.0
RS9C_S93_L001_R1_001	37.8861914731617	43.0	101.0	9.090909090909092	4869159.0
RS9C_S93_L002_R1_001	38.42128350017583	43.0	101.0	9.090909090909092	4885486.0
