"","x"
"1","Pocillopora_acuta_HIv2___RNAseq.g19199.t1"
"2","Pocillopora_acuta_HIv2___RNAseq.g17950.t1"
"3","Pocillopora_acuta_HIv2___RNAseq.g18759.t1"
"4","Pocillopora_acuta_HIv2___RNAseq.g6506.t1"
"5","Pocillopora_acuta_HIv2___TS.g12926.t1a"
"6","Pocillopora_acuta_HIv2___RNAseq.g12610.t1"
"7","Pocillopora_acuta_HIv2___RNAseq.g24075.t1"
