Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
RF18B_S90_L002_R1_001	RF18B_S90_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4440152.0	0.0	101.0	43.0	60.36117062933474	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RF18D_S113_L001_R1_001	RF18D_S113_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5414925.0	0.0	101.0	41.0	56.25361702597454	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RF18D_S113_L002_R1_001	RF18D_S113_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5442220.0	0.0	101.0	41.0	55.70825509675157	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RF19B_S103_L001_R1_001	RF19B_S103_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6334902.0	0.0	101.0	43.0	61.476276299282326	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RF19B_S103_L002_R1_001	RF19B_S103_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6356192.0	0.0	101.0	43.0	61.201530934854034	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RF19C_S83_L001_R1_001	RF19C_S83_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3795315.0	0.0	101.0	44.0	62.61546710988163	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RF19C_S83_L002_R1_001	RF19C_S83_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3799731.0	0.0	101.0	44.0	62.519238791474955	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RF20B_S88_L001_R1_001	RF20B_S88_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4514378.0	0.0	101.0	42.0	57.80788785744689	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RF20B_S88_L002_R1_001	RF20B_S88_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4528823.0	0.0	101.0	42.0	57.36104360685862	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RF20C_S115_L001_R1_001	RF20C_S115_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4739343.0	0.0	101.0	41.0	65.48990715956764	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RF20C_S115_L002_R1_001	RF20C_S115_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4749261.0	0.0	101.0	41.0	65.11393031900958	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RF22B_S91_L001_R1_001	RF22B_S91_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4391383.0	0.0	101.0	43.0	64.23254685392529	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
RF22B_S91_L002_R1_001	RF22B_S91_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4395904.0	0.0	101.0	43.0	63.94539147634239	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
RF22C_S126_L001_R1_001	RF22C_S126_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4833279.0	0.0	101.0	42.0	62.264320653927406	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RF22C_S126_L002_R1_001	RF22C_S126_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4843340.0	0.0	101.0	42.0	61.63613071297497	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RF23A_S125_L001_R1_001	RF23A_S125_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4401036.0	0.0	101.0	43.0	67.02265935554304	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RF23A_S125_L002_R1_001	RF23A_S125_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4414629.0	0.0	101.0	43.0	66.68659392675158	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RF23C_S108_L001_R1_001	RF23C_S108_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4367576.0	0.0	101.0	42.0	66.38270848301117	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
