"","Pocillopora_acuta_best_hit","X","accessionnumber.geneID","definition","Ref","substanceBXH","geneSymbol","moduleColor","GO.terms","GO.description","GS.Flat","GS.Slope","p.GS.Flat","p.GS.Slope","A.blue","p.A.blue","A.black","p.A.black","A.pink","p.A.pink","A.red","p.A.red","A.salmon","p.A.salmon","A.greenyellow","p.A.greenyellow","A.turquoise","p.A.turquoise","A.cyan","p.A.cyan","A.brown","p.A.brown","A.lightcyan","p.A.lightcyan","A.tan","p.A.tan","A.green","p.A.green","A.purple","p.A.purple","A.magenta","p.A.magenta","A.midnightblue","p.A.midnightblue","A.grey60","p.A.grey60","y_Stable_Slope","y_Variable_Slope","y_Stable_Flat","y_Variable_Flat","LCI_Stable_Slope","LCI_Variable_Slope","LCI_Stable_Flat","LCI_Variable_Flat","UCI_Stable_Slope","UCI_Variable_Slope","UCI_Stable_Flat","UCI_Variable_Flat"
"11","Pocillopora_acuta_HIv2___RNAseq.11056_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9102509461292,30.8309188023902,23.8156531477006,38.2679442846847,28.0050217415155,25.4896813532644,19.354017000564,31.5156208335268,41.0606758260361,37.2913863074967,29.3058198117245,46.4669748221441
"12","Pocillopora_acuta_HIv2___RNAseq.11061_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.94791666666676,7.5312500000001,7.55681818181818,8.39772727272729,5.06979439167265,4.24205663931282,4.14973361607933,4.62940199062964,15.7925956139609,13.3708084038429,13.7612450138453,15.2334628727103
"13","Pocillopora_acuta_HIv2___RNAseq.11263_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2049098560163,12.4906040323944,10.3786942504147,13.4783423497135,13.7723296991921,9.30223145832594,7.53931612146513,9.83891015466651,24.0641017245701,16.771802528567,14.2874091771943,18.4640076634826
"14","Pocillopora_acuta_HIv2___RNAseq.11267_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.04166666676103,8.9479166672774,9.28409090909111,9.00000000000007,3.65757659562792,5.51234574284641,5.60539612637862,5.4274894509908,9.97975986501109,14.5247080679663,15.3770299306133,14.924027164201
"15","Pocillopora_acuta_HIv2___RNAseq.11323_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8333333333336,26.5833333333333,36,31.3636363636364,19.3927212139575,21.7039576307645,29.3703450748745,25.4985803410703,29.2907721155174,32.5596659896455,44.1261414088285,38.5777432622794
"16","Pocillopora_acuta_HIv2___RNAseq.11479_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.29166674838966,9.0208333353845,11.3863636389292,9.46590909091719,3.7034995048585,5.38877158731297,6.69802883013229,5.53594246592785,10.688558327296,15.100924718422,19.3563330654355,16.1857597814631
"17","Pocillopora_acuta_HIv2___RNAseq.11504_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499.574433309725,456.990494654476,423.921420608224,452.04951565778,452.390671672474,413.682814942429,381.993904008379,407.399771879392,551.679400227381,504.831974307673,470.450886688897,501.592732032579
"18","Pocillopora_acuta_HIv2___RNAseq.11590_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.3020841916704,22.0624967893084,22.8409093666243,19.4772735109267,12.2362864330947,8.60481189550866,8.54550415005772,7.2772772220974,80.0749868107339,56.5676240793022,61.0504812277018,52.1299617757466
"19","Pocillopora_acuta_HIv2___RNAseq.11672_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.38541666731361,7.12500000003224,10.9204545454546,6.57954545454545,3.69598024350827,3.56158652572704,5.35622157477049,3.18015290817169,14.7577572812076,14.2536548343709,22.2650101035914,13.6126845590321
"20","Pocillopora_acuta_HIv2___RNAseq.11679_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.250000006725,91.8333333333867,92.0000000023651,92.0909090909332,99.6438447487256,82.7635985942895,82.5339263320391,82.6169050770184,121.985081287605,101.896984354941,102.551767213691,102.651334243137
