"","MEcyan","MEblack","MEsalmon","MEpink","MEred","MEgreen","MEmidnightblue","MEblue","MEbrown","MEpurple","MEturquoise","MEtan","MEmagenta","MElightcyan","MEyellow"
"RS13A",0.00432659891772083,-0.0138328736448284,-0.183481686607574,-0.0548748041724901,-0.107279769532468,-0.17909618800163,-0.347972558164822,0.20799278906954,-0.0877807628191368,0.000263679554168795,-0.147909311845724,-0.0957316901882255,0.153568477675487,0.243742957967091,0.216107093459941
"RS13C",0.0264009339065979,-0.0169605378939414,-0.099625982813462,0.105187165111813,0.0968598729043534,-0.214213396988508,-0.290163877083886,0.0832910421905316,-0.0924458929349681,-0.0270560268847575,-0.0279253229008883,0.00983332375348284,0.120176385907408,0.136072702933069,0.115750927657391
"RS14B",0.0152473895120256,-0.0258156150310977,0.0426997904505893,-0.0590788210363381,-0.127315764280597,-0.146178370837142,-0.106712993245859,-0.125667400385727,-0.138277198882785,-0.103548858310099,0.16584462898401,0.0780954751553914,0.126931779742331,0.14909599931627,0.057513137306
"RS14C",-0.0853239909666251,-0.0934902232002792,0.0979745128631104,0.0352559250502917,-0.125998295526273,-0.294412698987022,-0.118338827163257,-0.351963551785412,-0.224348382892484,-0.171706099686187,0.326288208718405,0.114293124772591,0.110626775047151,0.11149039655221,0.00161166896425072
"RS15B",0.0254364294026646,-0.043303446274473,-0.0671660910788694,0.0304411988200944,-0.0572671524059195,-0.24742833459114,-0.222059884008611,-0.0813571642232954,-0.135120080545933,-0.056569042242327,0.130767735133472,0.11658539300274,0.196764981828708,0.11843726239558,-0.0199663608771574
"RS15D",0.0434992662835955,-0.0632473644918822,0.0715157391546612,-0.209967005813746,-0.380623529812494,-0.19509680061987,0.0205032778815147,-0.468599994620124,-0.250028576263021,-0.0853186761958383,0.30712386408408,0.114460742360172,0.192810781321314,-0.00286775137322778,-0.172427392245304
"RS1B",0.03180439222756,-0.0717349490762859,-0.330538257052677,-0.266395347580556,-0.284008886873913,0.0321803172250962,-0.0786940194541053,0.153412371263113,-0.146538807775882,-0.115733159420648,-0.101737576821051,-0.246867986070232,0.16533320020981,0.0922662343384664,0.10466730205278
"RS1C",0.0382703167624829,-0.0811898633305884,0.0298713712359561,0.0357629035981508,-0.0767202606465116,0.0427090329287146,0.106798472525131,-0.0100502788226159,-0.0825979554274701,-0.163165402585107,0.143128087314503,-0.237046608895295,0.0218963213103447,-0.122813216972525,-0.183411877608596
"RS2B",-0.0191289687848561,0.0811414702999617,0.140848204302592,0.0606121877450596,-0.0867856298518936,-0.119226164632283,-0.075220210071013,0.0261338216976673,-0.0466493160233993,-0.0915451370362031,0.100982719360166,-0.128993836461774,-0.0433716056805611,-0.0268772710656721,-0.0837692362280999
"RS2C",0.0202354959141995,0.00119677424402031,-0.0123611035391394,0.00997596990881977,-0.0290874452729455,-0.125357802293724,0.0101279467121567,0.0340040344943368,-0.061856761906831,-0.110359257690546,0.0249997181609239,-0.183766929607151,0.0494632643771798,0.0119794587115815,-0.0483802185555594
"RS3B",0.0118973832168116,-0.00734441434906889,0.00750104674427932,0.0387810589918835,0.0381724974907823,-0.0222306269846679,-0.0601723772808117,0.0123287302826703,-0.12189069067932,-0.0995603564648335,0.0248569309203275,-0.204687974805568,-0.0845323478639855,-0.0283478898749451,-0.0374765474263568
"RS3D",0.0442362555567027,-0.00578195309131299,-0.0147810912299638,0.0481439886997141,0.0557197753466654,0.0375056339057683,-0.000109887750580191,0.00745885268575107,-0.0798550105674133,-0.0967228437317462,0.0655982262294822,-0.124814400190362,-0.00455613292122088,-0.081046732633155,-0.130456227673177
"RS6A",-0.964110167703353,-0.070105162387474,-0.0514370104861726,0.0257448242809283,-0.0310425918999178,-0.129070664423885,-0.111685827555325,-0.000870349603212693,-0.147206872170183,-0.079311077793874,0.0760210576659587,-0.088565739827956,0.0394693426760564,-0.0293976983175703,-0.12088916522609
"RS6D",-0.0740728504486729,-0.055100415983515,0.12963846659817,0.125773064134678,-0.0373659007169088,0.00896786609440308,0.119263755123502,-0.162062030752439,-0.0488787711804334,-0.0832343532585404,0.237997729144531,-0.088335416663297,0.034322064451377,-0.282674981527933,-0.426863339933789
"RS7B",-0.0186040960065516,-0.115318529107581,-0.183028240903808,-0.106590918434363,-0.146372720915744,-0.239251217980851,-0.135622569777155,-0.0580447621964006,-0.189674392377819,-0.0385199251340618,0.0108987552639364,0.161101074380712,0.224680178555847,0.27263341255844,0.148428399092529
"RS7C",0.0157100484775489,-0.191763563577092,0.158323825910043,0.0259720870900427,-0.12748109191479,-0.227835540124305,0.0559780215817028,-0.373326808898246,-0.153268153551761,-0.110615748147474,0.300330367558243,0.15150208989352,0.181188309742761,-0.047441111007511,-0.232336900558813
"RS8B",0.0594849912677935,0.035698058350899,-0.202533303730721,-0.263994098473672,-0.181832110612137,0.00416580297967264,-0.139598862118657,0.114302632827134,-0.0691282564781457,-0.0451161372574748,-0.0593595410539778,0.102274828302465,0.179495825645294,0.197500072028938,0.115675577480259
"RS8C",0.0442748956358861,0.0171046942393592,-0.267425678327396,-0.260452603322549,-0.185035501811895,-0.0154775840815408,-0.119407664778868,0.104221178862965,-0.0897643150531057,-0.0217115573301417,-0.0697849037627766,0.0455019223887391,0.222178199349331,0.27720259828971,0.204699604423107
"RS9A",0.000393358443054836,-0.00860952399594204,-0.0934872380033816,0.0598996333112542,0.0188980123377029,0.252919319588134,0.294378581622099,0.0949516529713715,-0.113018368292535,-0.054699637808933,-0.0296344587654502,-0.0621809895795428,-0.0103706554670921,-0.0786153573386161,-0.0916377830464039
"RS9C",0.0334558101161638,0.0132524086142987,-0.0554092832273031,0.0314761591608734,0.000305148476914514,-0.0502131322276521,-0.0539003157883775,0.00788680561200627,-0.0502997643058137,-0.0172539519358421,0.0463864232536627,-0.0175274808740839,0.118356056549624,0.0579743123147809,0.0482949427941049
